sample_id,ts_unix,ts_readable,CPU_perc,Mem_perc,cpu_freq_MHz,disk_read_MBps,disk_write_MBps,net_sent_MBps,net_recv_MBps,trigger_ctx
0,0.0,t+0s,0.43188670614168956,1.5238451326062308,,-0.013524089243357821,-0.05905440790938178,0.0,0.0,
1,30.0,t+30s,0.6232400331107302,1.5139797380390698,,-0.013524089243357821,-0.06343919236055696,0.0,0.0,
2,60.0,t+60s,0.14485671568812863,1.5205961925684888,,-0.013524089243357821,-0.061490399271146017,0.0,0.0,
3,90.0,t+90s,0.14485671568812863,1.520501333005342,,-0.013524089243357821,-0.06002880445408738,0.0,0.0,
4,120.0,t+120s,-0.1421732747654323,1.5203353287698382,,-0.013524089243357821,-0.06587518372232096,0.0,0.0,
5,150.0,t+150s,-0.33352660173447296,1.5240348517325222,,-0.013524089243357821,-0.06782397681173215,0.0,0.0,
6,180.0,t+180s,-0.4770415969612534,1.5314576125486792,,-0.013524089243357821,-0.07318315780761292,0.0,0.0,
7,210.0,t+210s,-0.5248799287035135,1.5257660387599326,,-0.013524089243357821,-0.07172156299055453,0.0,0.0,
8,240.0,t+240s,-0.1900116065076925,1.3546631017357433,,-0.013524089243357821,-0.029822511568213923,0.0,0.0,
9,270.0,t+270s,0.0013417204613481641,1.50470721574157,,-0.013524089243357821,-0.025924925389391548,0.0,0.0,
10,300.0,t+300s,-0.23784993824995262,1.5150469081244604,,-0.013524089243357821,-0.05077203727938423,0.0,0.0,
11,330.0,t+330s,-0.04649661128091204,1.5187227161963583,,-0.013524089243357821,-0.06441358890526255,0.0,0.0,
12,360.0,t+360s,-0.28568826999221275,1.529418131941045,,-0.013524089243357821,-0.07367035607996596,0.0,0.0,
13,390.0,t+390s,-0.1421732747654323,1.527046642862401,,-0.013524089243357821,-0.06782397681173215,0.0,0.0,
14,420.0,t+420s,-0.33352660173447296,1.4876087794845454,,-0.013524089243357821,-0.03128410638527232,0.0,0.0,
15,450.0,t+450s,-0.04649661128091204,1.3798008859693733,,-0.013524089243357821,0.06177076363411203,0.0,0.0,
16,480.0,t+480s,0.6710783648529904,1.4885573751160035,,-0.013524089243357821,-0.07756794225878832,0.0,0.0,
17,510.0,t+510s,0.14485671568812863,1.499252790860689,,-0.013524089243357821,-0.08779910597819685,0.0,0.0,
18,540.0,t+540s,1.0059466870488116,1.4877984986108368,,-0.013524089243357821,-0.07561914916937691,0.0,0.0,
19,570.0,t+570s,0.3362100426571693,1.500723114089449,,-0.013524089243357821,-0.05808001136467619,0.0,0.0,
20,600.0,t+600s,1.2451383457601122,2.8498395360394277,,-0.013524089243357821,0.16164640946643555,0.0,0.0,
21,630.0,t+630s,1.4843300044714132,3.03206475684246,,-0.013524089243357821,0.1684671852793747,0.0,0.0,
22,660.0,t+660s,1.2929766775023723,3.012144248581847,,-0.013524089243357821,0.17918554727113628,0.0,0.0,
23,690.0,t+690s,1.8670366584094942,1.5117031085235717,,-0.013524089243357821,-0.042002468377033864,0.0,0.0,
24,720.0,t+720s,1.1494616822755919,1.4637041695718105,,-0.013524089243357821,0.0700531342641096,0.0,0.0,
25,750.0,t+750s,1.3408150092446325,1.5251968813810584,,-0.013524089243357821,-0.05661841654761803,0.0,0.0,
26,780.0,t+780s,1.1494616822755919,1.560081485727916,,-0.013524089243357821,-0.0751319508970241,0.0,0.0,
27,810.0,t+810s,0.43188670614168956,1.5457814065836906,,-0.013524089243357821,-0.08097833016525768,0.0,0.0,
28,840.0,t+840s,0.6710783648529904,1.5503109507239026,,-0.013524089243357821,-0.027386520206449935,0.0,0.0,
29,870.0,t+870s,0.8145933600797708,1.570966620598894,,-0.013524089243357821,0.4086559335493039,0.0,0.0,
30,900.0,t+900s,0.2405333791726489,1.5500738018160378,,-0.013524089243357821,-0.0575928130923234,0.0,0.0,
31,930.0,t+930s,-0.09433494302317216,1.582207478831669,,-0.013524089243357821,-0.03420729601938934,0.0,0.0,
32,960.0,t+960s,0.04918005220360836,1.5896539545386117,,-0.013524089243357821,0.04179563446764732,0.0,0.0,
33,990.0,t+990s,0.8145933600797708,1.4202584896510462,,-0.013524089243357821,0.112439383958803,0.0,0.0,
34,1020.0,t+1020s,1.4843300044714132,1.4225825489481168,,-0.013524089243357821,0.06615554808528722,0.0,0.0,
35,1050.0,t+1050s,0.6710783648529904,1.5000116673658557,,-0.013524089243357821,-0.05320802864114821,0.0,0.0,
36,1080.0,t+1080s,0.47972503788394977,1.5436233515221256,,-0.013524089243357821,-0.0361560891088003,0.0,0.0,
37,1110.0,t+1110s,0.04918005220360836,1.5259083281046524,,-0.013524089243357821,-0.06100320099879297,0.0,0.0,
38,1140.0,t+1140s,-0.23784993824995262,1.5685002719571035,,-0.013524089243357821,-0.06587518372232096,0.0,0.0,
39,1170.0,t+1170s,-0.3813649334767331,1.5756858838653958,,-0.013524089243357821,-0.07269595953526012,0.0,0.0,
40,1200.0,t+1200s,-0.4770415969612534,1.5797648450806643,,-0.013524089243357821,-0.06441358890526255,0.0,0.0,
41,1230.0,t+1230s,1.4843300044714132,1.976680972173369,,-0.013524089243357821,0.442272614341647,0.0,0.0,
42,1260.0,t+1260s,1.3886533409868929,2.075856645442274,,-0.013524089243357821,1.458568210469583,0.0,0.0,
43,1290.0,t+1290s,0.6232400331107302,2.071991118244085,,-0.013524089243357821,0.05348839300411447,0.0,0.0,
44,1320.0,t+1320s,0.43188670614168956,2.1073974501882438,,-0.013524089243357821,-0.03372009774703631,0.0,0.0,
