CPU_perc,Mem_perc,cpu_freq_MHz,disk_read_MBps,disk_write_MBps,net_sent_MBps,net_recv_MBps,anomaly_label,anomaly_score
-0.0150544468682964,-0.8480368597359162,0.1301889109808214,-0.2512420296785053,-0.3307432794195085,-0.50925270128625,-0.5006896844525033,1,0.30451265764277047
-0.6876999452389734,-0.6238861479114476,0.1301889109808214,-0.2512420296785053,-0.2781304656289866,3.112099841193749,1.366288799946661,1,0.10214832978455857
-0.9567581445872442,-0.8480368597359162,0.1301889109808214,-0.2512420296785053,0.0056598633017076,-0.50925270128625,-0.3309643676889428,1,0.25324039965709694
-1.0912872442613797,-0.8480368597359162,0.1301889109808214,-0.2512420296785053,-0.2940737425352053,-0.50925270128625,-0.5006896844525033,1,0.30169644142610974
-1.148942572693152,-0.8480368597359162,0.1301889109808214,-0.2512420296785053,-0.2454467479712381,-0.50925270128625,-0.5006896844525033,1,0.29091349497669466
-0.6876999452389734,-1.0721875715604168,0.1301889109808214,-0.2512420296785053,-0.388936240127207,-0.50925270128625,-0.5006896844525033,1,0.29929548151885127
-1.1105056870719705,-1.0721875715604168,0.1301889109808214,-0.2512420296785053,-0.29805956176176,-0.50925270128625,-0.3309643676889428,1,0.27654499258320475
-1.0720688014507889,-1.0721875715604168,0.1301889109808214,-0.2512420296785053,-0.3403092455632398,-0.50925270128625,-0.3309643676889428,1,0.28033372885104646
-0.8414474877236997,-1.0721875715604168,0.1301889109808214,-0.2512420296785053,-0.3203801494304663,-0.28291816738125,-0.5006896844525033,1,0.2738840317430089
-0.6108261739966102,-1.0721875715604168,0.1301889109808214,-0.2512420296785053,-0.415242647022468,0.3960854343337499,0.5176622161288592,1,0.20193747226367642
-0.7261368308601548,-1.0721875715604168,0.1301889109808214,-0.2223586052597954,-0.1864566234182286,-0.28291816738125,-0.1612390509253824,1,0.22280484964227254
-1.0144134730190164,-1.0721875715604168,0.1301889109808214,-0.237237945111858,0.0160229932907498,-0.50925270128625,-0.5006896844525033,1,0.25495488242391273
-0.2072388749742041,-1.0721875715604168,0.1301889109808214,-0.237237945111858,0.0024712079204639,-0.50925270128625,-0.5006896844525033,1,0.2565211243685394
0.0233824387528849,-1.0721875715604168,0.1301889109808214,-0.2512420296785053,-0.3339319348007523,-0.50925270128625,-0.5006896844525033,1,0.2970283600527896
-1.148942572693152,-1.0721875715604168,0.1301889109808214,-0.2512420296785053,-0.29805956176176,-0.50925270128625,-0.5006896844525033,1,0.2941928777659421
-0.9759765873978348,-1.0721875715604168,0.1301889109808214,-0.237237945111858,-0.206385719551002,-0.50925270128625,-0.5006896844525033,1,0.2791262188808602
-0.7645737164813365,-1.0721875715604168,0.1301889109808214,-0.2512420296785053,-0.3140028386679788,-0.50925270128625,-0.5006896844525033,1,0.30341359522035427
-1.0912872442613797,-1.0721875715604168,0.1301889109808214,-0.2512420296785053,-0.415242647022468,-0.50925270128625,-0.5006896844525033,1,0.28800334321579807
-0.6876999452389734,-1.0721875715604168,0.1301889109808214,-0.2512420296785053,-0.3626298332319461,-0.50925270128625,-0.5006896844525033,1,0.303176934813646
-0.3033310890271579,-0.8480368597359162,0.1301889109808214,-0.2512420296785053,-0.3044368725242475,-0.50925270128625,-0.5006896844525033,1,0.30483749312739317
