Time-(numerical),Time-(readable),CPU_perc,Mem_perc,cpu_freq_MHz,disk_read_MBps,disk_write_MBps,net_sent_MBps,net_recv_MBps,trigger_ctx
1760397135.8205185,2025-10-13T18:12:15,15.8,81.4,1711.0,0.001,0.209,0.0,0.0,
1760397136.8614335,2025-10-13T18:12:16,14.3,81.3,1711.0,0.001,0.0,0.0,0.0,
1760397137.9051454,2025-10-13T18:12:17,21.7,81.4,1711.0,0.037,0.057,0.001,0.001,
1760397138.937177,2025-10-13T18:12:18,23.4,81.5,1711.0,0.062,0.201,0.0,0.0,
1760397139.967629,2025-10-13T18:12:19,38.1,81.8,1711.0,23.858,0.188,0.0,0.001,
1760397141.0021179,2025-10-13T18:12:21,36.6,83.1,1711.0,41.568,0.0,0.01,0.007,
1760397142.0350654,2025-10-13T18:12:22,21.9,83.0,1711.0,0.148,0.123,0.006,0.001,
1760397143.0651922,2025-10-13T18:12:23,18.6,82.9,1711.0,0.14,0.074,0.005,0.008,
1760397144.0905802,2025-10-13T18:12:24,18.9,82.7,1711.0,0.177,0.147,0.002,0.003,
1760397145.1249542,2025-10-13T18:12:25,15.8,82.7,1711.0,0.001,0.0,0.001,0.001,
1760397146.161589,2025-10-13T18:12:26,19.1,82.8,1711.0,0.189,0.131,0.001,0.001,
1760397147.1889505,2025-10-13T18:12:27,67.9,89.7,1711.0,2.964,0.643,0.001,0.001,System Idle Process cpu=1238.3% mem=0.0% (pid=0); OneDrive.exe cpu=191.4% mem=1.2% (pid=20416); Taskmgr.exe cpu=20.7% mem=0.6% (pid=28296)
1760397150.9739034,2025-10-13T18:12:30,96.7,91.2,1711.0,2.93,86.569,0.002,0.007,OneDrive.exe cpu=122.0% mem=1.2% (pid=20416); python.exe cpu=89.5% mem=2.1% (pid=3876); System cpu=81.2% mem=0.0% (pid=4)
1760397155.415043,2025-10-13T18:12:35,98.8,90.1,1711.0,0.649,28.008,0.005,0.006,OneDrive.exe cpu=175.0% mem=1.2% (pid=20416); python.exe cpu=85.6% mem=0.2% (pid=6048); python.exe cpu=84.1% mem=3.2% (pid=12884)
1760397158.6616402,2025-10-13T18:12:38,99.5,89.9,1711.0,2.349,11.911,0.002,0.003,OneDrive.exe cpu=187.7% mem=1.2% (pid=20416); python.exe cpu=99.9% mem=3.2% (pid=12884); python.exe cpu=83.1% mem=1.8% (pid=3876)
1760397161.8416138,2025-10-13T18:12:41,99.1,88.2,1711.0,0.699,18.129,0.008,0.017,OneDrive.exe cpu=166.8% mem=1.2% (pid=20416); python.exe cpu=60.9% mem=0.2% (pid=1864); python.exe cpu=60.4% mem=0.4% (pid=29004)
1760397165.8335748,2025-10-13T18:12:45,50.9,81.5,1711.0,1.981,23.806,0.019,0.008,
1760397166.8712037,2025-10-13T18:12:46,20.2,81.4,1711.0,0.062,0.614,0.001,0.001,
1760397167.9037066,2025-10-13T18:12:47,17.2,81.3,1711.0,0.001,0.004,0.0,0.001,
1760397168.940138,2025-10-13T18:12:48,16.3,81.4,1711.0,0.001,0.0,0.001,0.0,
1760397169.9761357,2025-10-13T18:12:49,18.1,81.4,1711.0,0.005,0.0,0.0,0.0,
1760397171.0112157,2025-10-13T18:12:51,17.7,81.3,1711.0,0.135,0.377,0.0,0.0,
1760397172.0455658,2025-10-13T18:12:52,16.3,81.3,1711.0,0.005,0.02,0.0,0.0,
1760397173.0786345,2025-10-13T18:12:53,21.7,81.3,1711.0,0.037,0.053,0.001,0.001,
1760397174.111629,2025-10-13T18:12:54,20.5,81.3,1711.0,0.103,0.106,0.0,0.0,
1760397175.1522613,2025-10-13T18:12:55,23.2,81.6,1711.0,0.603,0.082,0.0,0.001,
1760397176.1875107,2025-10-13T18:12:56,21.1,81.6,1711.0,0.001,0.0,0.001,0.001,
1760397177.2290304,2025-10-13T18:12:57,27.7,81.7,1711.0,0.909,0.254,0.008,0.006,
1760397178.2721143,2025-10-13T18:12:58,23.3,81.7,1711.0,0.037,0.033,0.001,0.001,
1760397179.3098297,2025-10-13T18:12:59,19.4,81.7,1711.0,0.463,0.0,0.0,0.004,
